relation,relation_name,count,direct_em,unified_em,em_gain,direct_accuracy,unified_accuracy,accuracy_gain,direct_f1,unified_f1,f1_gain,improved_cases,harmed_cases
P17,country,253,0.6482213438735178,0.6640316205533597,0.015810276679841896,0.6482213438735178,0.6640316205533597,0.015810276679841896,0.7515151515151515,0.7689064558629776,0.017391304347826087,8,3
P407,language,144,0.6388888888888888,0.6666666666666666,0.027777777777777776,0.6388888888888888,0.6736111111111112,0.034722222222222224,0.6388888888888888,0.6701388888888888,0.03125,8,3
P131,located in,228,0.14912280701754385,0.16228070175438597,0.013157894736842105,0.2543859649122807,0.29385964912280704,0.039473684210526314,0.2543413457887142,0.2874443052074631,0.03310295941874889,14,2
P36,capital,190,0.7578947368421053,0.7947368421052632,0.03684210526315789,0.7789473684210526,0.8157894736842105,0.03684210526315789,0.7753429027113238,0.811658692185008,0.03631578947368421,11,3
P495,country of origin,232,0.13793103448275862,0.16810344827586207,0.03017241379310345,0.13793103448275862,0.16810344827586207,0.03017241379310345,0.4798850574712644,0.521551724137931,0.041666666666666664,15,3
P159,headquarters,222,0.4954954954954955,0.5135135135135135,0.018018018018018018,0.6126126126126126,0.6936936936936937,0.08108108108108109,0.5873873873873873,0.6447018447018447,0.05731445731445732,30,11
P50,author,210,0.7047619047619048,0.7761904761904762,0.07142857142857142,0.7380952380952381,0.819047619047619,0.08095238095238096,0.7411337868480726,0.8166288737717309,0.07549508692365836,22,4
P276,location,234,0.2863247863247863,0.3547008547008547,0.06837606837606838,0.4017094017094017,0.49145299145299143,0.08974358974358974,0.40409035409035404,0.48558488045667536,0.08149452636632125,27,4
P176,manufacturer,222,0.43243243243243246,0.4864864864864865,0.05405405405405406,0.4594594594594595,0.527027027027027,0.06756756756756757,0.5402080652080652,0.6424102674102674,0.1022022022022022,38,11
P136,genre,212,0.10849056603773585,0.17452830188679244,0.0660377358490566,0.12264150943396226,0.18867924528301888,0.0660377358490566,0.22468553459119495,0.33411949685534587,0.10943396226415092,33,2
P170,creator,185,0.43783783783783786,0.5513513513513514,0.11351351351351352,0.4972972972972973,0.6216216216216216,0.12432432432432433,0.5015537615537615,0.6128528528528528,0.11129909129909131,27,3
P127,owned by,201,0.34328358208955223,0.4427860696517413,0.09950248756218906,0.46766169154228854,0.572139303482587,0.1044776119402985,0.4755910203671397,0.5937383788130057,0.11814735844586591,40,8
P106,occupation,235,0.3617021276595745,0.4340425531914894,0.07234042553191489,0.4,0.574468085106383,0.17446808510638298,0.3856737588652482,0.5059557581898008,0.12028199932455251,51,7
P40,child,231,0.329004329004329,0.4805194805194805,0.15151515151515152,0.37662337662337664,0.5411255411255411,0.1645021645021645,0.5307930645592983,0.6585274513845943,0.12773438682529592,57,14
P413,position played,214,0.4439252336448598,0.5514018691588785,0.10747663551401869,0.4532710280373832,0.6074766355140186,0.1542056074766355,0.46261682242990654,0.5995327102803738,0.13691588785046727,43,8
P800,notable work,52,0.1346153846153846,0.34615384615384615,0.21153846153846154,0.3269230769230769,0.4230769230769231,0.09615384615384616,0.28026556776556777,0.4235347985347985,0.1432692307692308,13,1
P175,performer,236,0.3389830508474576,0.4915254237288136,0.15254237288135594,0.3474576271186441,0.5,0.15254237288135594,0.3533494753833737,0.5002421307506053,0.14689265536723164,38,4
P112,founded by,125,0.448,0.576,0.128,0.512,0.68,0.168,0.5651643467643468,0.7131072039072041,0.14794285714285713,28,3
P740,formation location,216,0.37962962962962965,0.4537037037037037,0.07407407407407407,0.49074074074074076,0.6851851851851852,0.19444444444444445,0.45601851851851855,0.6134259259259259,0.1574074074074074,48,5
P264,record label,239,0.1297071129707113,0.2803347280334728,0.1506276150627615,0.16317991631799164,0.3472803347280335,0.18410041841004185,0.28310420402470615,0.4418482493796301,0.158744045354924,62,8
P26,spouse,239,0.47280334728033474,0.6359832635983264,0.16317991631799164,0.5062761506276151,0.6736401673640168,0.16736401673640167,0.586814347902214,0.752928870292887,0.16611452239067304,51,4
P69,educated at,233,0.2532188841201717,0.4678111587982833,0.2145922746781116,0.26180257510729615,0.5321888412017167,0.2703862660944206,0.46023911710606985,0.6374714698749034,0.17723235276883345,83,19
P20,place of death,228,0.42105263157894735,0.5526315789473685,0.13157894736842105,0.4473684210526316,0.6535087719298246,0.20614035087719298,0.4426900584795322,0.6247493734335839,0.1820593149540518,54,4
P19,place of birth,219,0.2922374429223744,0.4703196347031963,0.1780821917808219,0.3378995433789954,0.684931506849315,0.3470319634703196,0.33127853881278535,0.6147205914329201,0.28344205262013483,82,4
